id,created_at,full_text,hour,weekday,week,month,mentions_engie,critical_tweet
"1,73E+18",2023-11-16 00:00:00+00:00,"@ENGIEpartFR \n6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle\nPour le numéro 1 du service client c’est dommage",15,Thursday,2023-11-13/2023-11-19,2023-11,True,False
"1,73E+18",2023-11-26 00:00:00+00:00,"Bonjour @ENGIEpartSAV , l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.",7,Sunday,2023-11-20/2023-11-26,2023-11,True,False
"1,74E+18",2023-12-21 00:00:00+00:00,@ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX  !,14,Thursday,2023-12-18/2023-12-24,2023-12,True,True
"1,74E+18",2023-12-28 00:00:00+00:00,"@ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?\nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la @dgccrf.",21,Thursday,2023-12-25/2023-12-31,2023-12,True,False
"1,74E+18",2023-12-29 00:00:00+00:00,"@ENGIEpartSAV retour de votre technicien ""vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression "" l'intégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients...",10,Friday,2023-12-25/2023-12-31,2023-12,True,True
"1,74E+18",2023-12-29 00:00:00+00:00,@ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client: ils ne comprennent rien. Je retiens la leçon....,11,Friday,2023-12-25/2023-12-31,2023-12,True,False
"1,74E+18",2023-12-29 00:00:00+00:00,Je m’explique mal où c’est les personnes du chat qui ne comprennent rien ?\nC’est lunaire comme échange depuis hier !!! @ENGIEpartFR faites quelques choses !!! 1/9 https://t.co/wQoEEFycvo,12,Friday,2023-12-25/2023-12-31,2023-12,True,False
"1,74E+18",2023-12-29 00:00:00+00:00,@ENGIEpartSAV Et c’est si compliqué d’expliquer ça? Vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. Donc sur ma prochaine facture il n’y aura plus cette ligne? Donc cette partie correspond à la consommation de quelle période? Que je puisse vérifier dans ma bdd?,14,Friday,2023-12-25/2023-12-31,2023-12,True,True
"1,74E+18",2023-12-30 00:00:00+00:00,"@ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numérique avant le 01/01/2024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?",13,Saturday,2023-12-25/2023-12-31,2023-12,True,True
"1,74E+18",2024-01-01 00:00:00+00:00,"@ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !!",12,Monday,2024-01-01/2024-01-07,2024-01,True,True
"1,74E+18",2024-01-01 00:00:00+00:00,"Bonjour @ENGIEpartSAV, Alors que le prix repère moyen de vente du gaz publié par la @CRE_energie  est passé de 0,10406€ à 0,09990€/KwH entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686€ à 0,10230€ ? Quelle est votre formule d'indexation ?",16,Monday,2024-01-01/2024-01-07,2024-01,True,False
"1,74E+18",2024-02-01 00:00:00+00:00,@enedis @ENGIEgroup @ENGIEpartFR @enedis_clients @enedis_paris pour vous c’est normal de laisser des familles sans électricité ?\nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité \nEn plein mois de janvier ou les températures sont basses !,10,Tuesday,2024-01-29/2024-02-04,2024-02,True,False
"1,74E+18",2024-03-01 00:00:00+00:00,"@ENGIEpartFR : j'essaie de vous joindre depuis 48 h, impossible. J'ai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait : impossible sur votre site.",9,Wednesday,2024-02-26/2024-03-03,2024-03,True,False
